%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1695954296940721590,0.5,0.0,0.0,0.0,0.0,0.2
1695954297040932341,0.5,0.0,0.0,0.0,0.0,0.2
1695954297140717953,0.5,0.0,0.0,0.0,0.0,0.2
1695954297240987171,0.5,0.0,0.0,0.0,0.0,0.2
1695954297340768192,0.5,0.0,0.0,0.0,0.0,0.2
1695954297440984251,0.5,0.0,0.0,0.0,0.0,0.2
1695954297540778910,0.5,0.0,0.0,0.0,0.0,0.2
1695954297640881711,0.5,0.0,0.0,0.0,0.0,0.2
1695954297740640353,0.5,0.0,0.0,0.0,0.0,0.2
1695954297840736806,0.5,0.0,0.0,0.0,0.0,0.2
1695954297940996078,0.5,0.0,0.0,0.0,0.0,0.2
1695954298040710110,0.5,0.0,0.0,0.0,0.0,0.2
1695954298140736728,0.5,0.0,0.0,0.0,0.0,0.2
1695954298240992004,0.5,0.0,0.0,0.0,0.0,0.2
1695954298341125652,0.5,0.0,0.0,0.0,0.0,0.2
1695954298440829291,0.5,0.0,0.0,0.0,0.0,0.2
1695954298540909369,0.5,0.0,0.0,0.0,0.0,0.2
1695954298640760713,0.5,0.0,0.0,0.0,0.0,0.2
1695954298740658651,0.5,0.0,0.0,0.0,0.0,0.2
1695954298840935353,0.5,0.0,0.0,0.0,0.0,0.2
1695954298940723831,0.5,0.0,0.0,0.0,0.0,0.2
1695954299041939269,0.5,0.0,0.0,0.0,0.0,0.2
1695954299140752865,0.5,0.0,0.0,0.0,0.0,0.2
1695954299241012310,0.5,0.0,0.0,0.0,0.0,0.2
1695954299340682364,0.5,0.0,0.0,0.0,0.0,0.2
1695954299440652563,0.5,0.0,0.0,0.0,0.0,0.2
1695954299540955781,0.5,0.0,0.0,0.0,0.0,0.2
1695954299640709150,0.5,0.0,0.0,0.0,0.0,0.2
1695954299740975487,0.5,0.0,0.0,0.0,0.0,0.2
1695954299840771842,0.5,0.0,0.0,0.0,0.0,0.2
1695954299940923274,0.5,0.0,0.0,0.0,0.0,0.2
1695954300040753168,0.5,0.0,0.0,0.0,0.0,0.2
1695954300140713075,0.5,0.0,0.0,0.0,0.0,0.2
1695954300240737289,0.5,0.0,0.0,0.0,0.0,0.2
1695954300340941474,0.5,0.0,0.0,0.0,0.0,0.2
1695954300440747735,0.5,0.0,0.0,0.0,0.0,0.2
1695954300541157659,0.5,0.0,0.0,0.0,0.0,0.2
1695954300640696784,0.5,0.0,0.0,0.0,0.0,0.2
1695954300740939101,0.5,0.0,0.0,0.0,0.0,0.2
1695954300840704358,0.5,0.0,0.0,0.0,0.0,0.2
1695954300940804022,0.5,0.0,0.0,0.0,0.0,0.2
1695954301040946395,0.5,0.0,0.0,0.0,0.0,0.2
1695954301140699345,0.5,0.0,0.0,0.0,0.0,0.2
1695954301240976181,0.5,0.0,0.0,0.0,0.0,0.2
1695954301340709158,0.5,0.0,0.0,0.0,0.0,0.2
1695954301440753460,0.5,0.0,0.0,0.0,0.0,0.2
1695954301540670533,0.5,0.0,0.0,0.0,0.0,0.2
1695954301640975305,0.5,0.0,0.0,0.0,0.0,0.2
1695954301740702750,0.5,0.0,0.0,0.0,0.0,0.2
